scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
1,0.7826799,-1.028702,1.195691,-0.06268859
2,0,-1.02787,1.195313,-0.0626207
2,0.0112418,-1.027874,1.195396,-0.06271666
2,0.0224836,-1.027879,1.195378,-0.06276822
2,0.0336009,-1.027824,1.195293,-0.0627439
2,0.0446499,-1.027835,1.195332,-0.06288427
2,0.0561409,-1.02784,1.195323,-0.06292909
2,0.0671891,-1.027774,1.195254,-0.06288826
2,0.0786822,-1.027763,1.1953,-0.06295711
2,0.0895759,-1.027741,1.195272,-0.06298369
2,0.1005055,-1.027723,1.195178,-0.06292516
2,0.111753,-1.027747,1.195211,-0.06301314
2,0.1230242,-1.027766,1.195172,-0.06304699
2,0.1340382,-1.027798,1.19505,-0.06296223
2,0.1454986,-1.027832,1.195094,-0.06299067
2,0.1571555,-1.027869,1.195072,-0.0629735
2,0.1685462,-1.027949,1.194986,-0.06285906
2,0.1807,-1.028003,1.195047,-0.06291538
2,0.1926394,-1.028055,1.195026,-0.06290108
2,0.2054676,-1.028077,1.194951,-0.06280643
2,0.2169267,-1.028121,1.195001,-0.06284547
2,0.2280415,-1.02818,1.194993,-0.06284243
2,0.2390353,-1.028165,1.194895,-0.06279469
2,0.2508018,-1.028229,1.194934,-0.06290764
2,0.2616225,-1.028284,1.19493,-0.06293869
2,0.2744468,-1.028295,1.194886,-0.06295717
2,0.2864118,-1.028358,1.194905,-0.06311232
2,0.2972819,-1.028398,1.194849,-0.06318039
2,0.3083828,-1.028361,1.194719,-0.06320244
2,0.3206203,-1.028406,1.194673,-0.06330258
2,0.3324372,-1.028444,1.194582,-0.0633496
2,0.3449022,-1.028525,1.194486,-0.06346053
2,0.358061,-1.028569,1.194485,-0.06351143
2,0.3688855,-1.028603,1.194403,-0.0634768
2,0.3807847,-1.02866,1.194477,-0.06361043
2,0.3931167,-1.028672,1.194493,-0.06365478
2,0.4046173,-1.028676,1.194438,-0.06356823
2,0.4158008,-1.028703,1.194532,-0.06372476
2,0.4270884,-1.0287,1.194575,-0.06374484
2,0.4392243,-1.028716,1.194521,-0.06365442
2,0.4505657,-1.028703,1.194639,-0.06372845
2,0.4622089,-1.02869,1.194658,-0.06373078
2,0.4734478,-1.028607,1.194609,-0.06365532
2,0.4854564,-1.028597,1.194667,-0.06370556
2,0.4975798,-1.028547,1.194646,-0.06366253
2,0.5086905,-1.028493,1.194577,-0.06357479
2,0.5193632,-1.028443,1.194625,-0.06361616
2,0.5363157,-1.028404,1.194564,-0.06352061
2,0.5489388,-1.028387,1.194625,-0.06359196
2,0.5598192,-1.028353,1.1946,-0.06357783
2,0.5716677,-1.02831,1.194562,-0.0634883
2,0.5909962,-1.028259,1.194518,-0.06345266
2,0.6035024,-1.028213,1.194455,-0.06334537
2,0.614683,-1.028175,1.194489,-0.06338811
2,0.6256298,-1.028141,1.194501,-0.06335062
2,0.6369242,-1.028089,1.194457,-0.06324273
2,0.6495132,-1.028077,1.194509,-0.06330818
3,0,-1.03162,1.189309,-0.06630021
3,0.0111377,-1.031569,1.189286,-0.06624049
3,0.0222754,-1.031536,1.189232,-0.06622231
3,0.0334278,-1.031514,1.189194,-0.06621617
3,0.0443746,-1.031505,1.189181,-0.0661993
3,0.0562074,-1.031495,1.189156,-0.06620365
3,0.0668444,-1.031466,1.189161,-0.06620646
3,0.07831229,-1.031395,1.189186,-0.06618518
3,0.08932609,-1.031354,1.189178,-0.06617475
3,0.1005591,-1.031347,1.189163,-0.06616527
3,0.1114991,-1.031266,1.189133,-0.06619626
3,0.1228866,-1.031266,1.189107,-0.06618196
3,0.1339405,-1.031251,1.189061,-0.06615859
3,0.145419,-1.031333,1.189015,-0.06613111
3,0.1566632,-1.031335,1.189019,-0.06614017
3,0.167631,-1.031355,1.188994,-0.06615746
3,0.1783924,-1.031389,1.188979,-0.06621569
3,0.189736,-1.031434,1.188963,-0.06619394
3,0.2004766,-1.031464,1.188926,-0.06616962
3,0.2128561,-1.031424,1.188927,-0.06614339
3,0.22339,-1.031448,1.188908,-0.06614554
3,0.2343089,-1.031448,1.188899,-0.06613678
3,0.2454901,-1.031464,1.188914,-0.06607383
3,0.2569741,-1.031487,1.188925,-0.06605661
3,0.2678052,-1.031486,1.188935,-0.06605315
3,0.279302,-1.031492,1.188953,-0.06602353
3,0.2906204,-1.031489,1.188954,-0.06599224
3,0.3017446,-1.031485,1.188968,-0.06597739
3,0.3140134,-1.031475,1.188992,-0.06595546
3,0.3256043,-1.031471,1.188983,-0.06593865
3,0.3359856,-1.031446,1.188984,-0.06591296
3,0.3463953,-1.031406,1.188961,-0.06591886
3,0.362402,-1.031338,1.188947,-0.06587291
3,0.3734053,-1.031239,1.188886,-0.06580567
3,0.3859535,-1.0312,1.188993,-0.06590486
3,0.3970581,-1.031125,1.189011,-0.06592393
3,0.4083056,-1.031034,1.18895,-0.06587535
3,0.4191967,-1.030993,1.189035,-0.06596482
3,0.4307558,-1.030938,1.188996,-0.065952
3,0.4436358,-1.030912,1.188865,-0.06580991
3,0.4604232,-1.030839,1.188896,-0.0658595
3,0.4737944,-1.030822,1.188805,-0.06577659
3,0.4861354,-1.03081,1.188873,-0.06588471
3,0.4976172,-1.030805,1.18888,-0.06584579
3,0.5088626,-1.03076,1.188789,-0.06574333
3,0.5197185,-1.030756,1.18882,-0.06586546
3,0.5316527,-1.030723,1.188792,-0.06588697
3,0.5419155,-1.030584,1.188705,-0.06584561
3,0.5531174,-1.030569,1.188762,-0.06595367
3,0.5648157,-1.030541,1.188745,-0.06597221
3,0.5759804,-1.030593,1.188648,-0.06589544
3,0.5867478,-1.030623,1.188675,-0.06603557
3,0.5977347,-1.030612,1.188681,-0.0660218
3,0.6093246,-1.030619,1.188609,-0.06592393
3,0.6206509,-1.030652,1.188711,-0.06598318
3,0.6316303,-1.030649,1.188721,-0.06599259
3,0.642537,-1.030648,1.188674,-0.06593335
3,0.6540955,-1.030669,1.188745,-0.06595731
3,0.664989,-1.030697,1.188718,-0.06592798
3,0.6760876,-1.030626,1.188679,-0.0658471
3,0.6876017,-1.030619,1.188742,-0.06590289
3,0.6989902,-1.030615,1.188791,-0.06589413
3,0.7103458,-1.030558,1.188789,-0.06588131
3,0.7234598,-1.030602,1.188912,-0.06594038
3,0.7425901,-1.030744,1.18887,-0.06585062
3,0.7682489,-1.030735,1.18877,-0.06566697
3,0.7966138,-1.030774,1.18888,-0.06559962
3,0.8143647,-1.030873,1.188966,-0.06547552
4,0,-1.030823,1.189109,-0.06572562
4,0.0110996,-1.030771,1.18905,-0.06569761
4,0.0221992,-1.030794,1.189115,-0.06579769
4,0.034159,-1.030808,1.189108,-0.06581759
4,0.0445219,-1.030782,1.189033,-0.06577176
4,0.0560604,-1.030815,1.189057,-0.06588835
4,0.0668459,-1.030826,1.189031,-0.06593943
4,0.078225,-1.0308,1.188973,-0.06592321
4,0.089158,-1.030803,1.189026,-0.0660522
4,0.1001897,-1.030805,1.189044,-0.06607759
4,0.1117689,-1.030787,1.188986,-0.06601095
4,0.1234362,-1.030788,1.189065,-0.06606531
4,0.1336112,-1.030776,1.18908,-0.06610107
4,0.1454939,-1.030724,1.188997,-0.06603938
4,0.1558326,-1.030723,1.189063,-0.06614697
4,0.167369,-1.030705,1.189065,-0.06616712
4,0.1785879,-1.030724,1.188969,-0.06606841
4,0.1900234,-1.030736,1.188999,-0.06621373
4,0.2027595,-1.03075,1.188974,-0.06622678
4,0.2168576,-1.030722,1.188884,-0.06611818
4,0.2279765,-1.030733,1.18894,-0.06618351
4,0.2393104,-1.030708,1.188902,-0.0662086
4,0.2512136,-1.030707,1.188805,-0.06612504
4,0.2634631,-1.030723,1.188856,-0.06619549
4,0.274979,-1.030708,1.188828,-0.06619763
4,0.2864581,-1.030688,1.188825,-0.06616044
4,0.2987915,-1.030666,1.188833,-0.06615198
4,0.3106569,-1.030655,1.188849,-0.06614506
4,0.3229044,-1.030621,1.188848,-0.06615984
4,0.3341296,-1.030612,1.188855,-0.06617427
4,0.3458033,-1.030574,1.18887,-0.06616837
4,0.3565001,-1.030487,1.188869,-0.06610972
4,0.3680542,-1.030462,1.188872,-0.06609261
4,0.3791662,-1.030449,1.188892,-0.06607246
4,0.3902333,-1.030439,1.188861,-0.06602579
4,0.4023694,-1.030419,1.188883,-0.06600571
4,0.4150658,-1.030415,1.188896,-0.06597805
4,0.4276303,-1.030391,1.188864,-0.06599212
4,0.4385407,-1.030356,1.188867,-0.0659883
4,0.4497355,-1.030335,1.188883,-0.06599134
4,0.4609382,-1.03034,1.188871,-0.06595242
4,0.4725776,-1.030296,1.188846,-0.06593186
4,0.4840406,-1.030252,1.188877,-0.06592256
4,0.4954752,-1.030185,1.188884,-0.06595582
4,0.5068637,-1.029993,1.188939,-0.06600404
4,0.5185753,-1.029846,1.189072,-0.06593019
4,0.531414,-1.029704,1.189184,-0.06590849
4,0.5422239,-1.029582,1.189332,-0.06588179
4,0.5532322,-1.02937,1.18955,-0.06577015
4,0.5646216,-1.029172,1.189771,-0.06573039
4,0.5762891,-1.029002,1.190052,-0.06568307
4,0.5926642,-1.028525,1.190661,-0.06553489
4,0.608164,-1.028299,1.190965,-0.06548214
4,0.621694,-1.028077,1.19127,-0.06533891
4,0.6325695,-1.027856,1.191547,-0.0652464
4,0.6433313,-1.027617,1.191835,-0.06513399
4,0.6542366,-1.027443,1.192067,-0.06489331
4,0.6650465,-1.027228,1.192279,-0.06476867
